mtprotosender.py:228 #INFO     [2025-10-29 00:07:33,541] - telethon.network.mtprotosender - 0| Connecting to 149.154.167.91:443/TcpFull...
mtprotosender.py:279 #INFO     [2025-10-29 00:07:33,577] - telethon.network.mtprotosender - 0| Connection to 149.154.167.91:443/TcpFull complete!
utils.py:67 #INFO     [2025-10-29 00:07:34,024] - root - 0| Client has been connected!
utils.py:67 #INFO     [2025-10-29 00:07:34,024] - root - 0| Redis has been initialized!
utils.py:67 #INFO     [2025-10-29 00:07:34,024] - root - 0| Prepare to load data in redis...
utils.py:67 #INFO     [2025-10-29 00:07:34,024] - root - 0| Loading messages data from small groups...
utils.py:67 #INFO     [2025-10-29 00:07:34,411] - root - 0| Data from small groups has been loaded!
utils.py:67 #INFO     [2025-10-29 00:07:34,412] - root - 0| Event handlers has been registered!
utils.py:67 #INFO     [2025-10-29 00:07:34,412] - root - 0| Queue worker has been started!
utils.py:67 #INFO     [2025-10-29 00:07:34,412] - root - 0| Kafka listener has been started!
subscription_state.py:110 #INFO     [2025-10-29 00:07:34,412] - aiokafka.consumer.subscription_state - 0| Updating subscribed topics to: frozenset({'messages'})
group_coordinator.py:594 #INFO     [2025-10-29 00:07:34,422] - aiokafka.consumer.group_coordinator - 0| Discovered coordinator 1 for group demo-group
group_coordinator.py:415 #INFO     [2025-10-29 00:07:34,422] - aiokafka.consumer.group_coordinator - 0| Revoking previously assigned partitions set() for group demo-group
group_coordinator.py:1281 #INFO     [2025-10-29 00:07:34,422] - aiokafka.consumer.group_coordinator - 0| (Re-)joining group demo-group
group_coordinator.py:1360 #INFO     [2025-10-29 00:07:37,248] - aiokafka.consumer.group_coordinator - 0| Joined group 'demo-group' (generation 12) with member_id aiokafka-0.12.0-a9917c45-59ab-4dfe-b573-1167ea46b57d
group_coordinator.py:1368 #INFO     [2025-10-29 00:07:37,248] - aiokafka.consumer.group_coordinator - 0| Elected group leader -- performing partition assignments using roundrobin
group_coordinator.py:1519 #INFO     [2025-10-29 00:07:37,255] - aiokafka.consumer.group_coordinator - 0| Successfully synced group demo-group with generation 12
group_coordinator.py:506 #INFO     [2025-10-29 00:07:37,255] - aiokafka.consumer.group_coordinator - 0| Setting newly assigned partitions {TopicPartition(topic='messages', partition=0)} for group demo-group
mtprotosender.py:319 #INFO     [2025-10-29 00:08:27,556] - telethon.network.mtprotosender - 0| Disconnecting from 149.154.167.91:443/TcpFull...
mtprotosender.py:339 #INFO     [2025-10-29 00:08:27,556] - telethon.network.mtprotosender - 0| Disconnection from 149.154.167.91:443/TcpFull complete!
